name,date,image,magnet,size,quality,last-updated,category
The IT Crowd,2006,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%2Fid%2FOIP.rRGl7NpZ45PKwDjDilAPeAHaKY%3Fcb%3D12%26pid%3DApi&f=1&ipt=a9976ed3eb50a849a6a12eadff6d8a5cb4c8cd1d20fe6d6aff9a885a54d65814&ipo=images,magnet:?xt=urn:btih:05b9b993ca9ccce9913405597696a7f895cc5684&dn=The%20IT%20Crowd%20%282006%29%20Complete%20%2B%20Extras%20%28Mixed%20x265%20HEVC%2010bit%20AAC%202.0%20Panda%29&tr=udp%3A%2F%2Ftracker.bitsearch.to%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.zerobytes.xyz%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.0x.tf%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker2.dler.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,8.61GB,576p-x265,2025-10-16,TV
Silicon Valley,2014,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F81sYbD4xK%2BL._AC_SL1500_.jpg&f=1&nofb=1&ipt=22654b8a7d7eaadaf25a4025767f6ac2f07c406440f2bdeddc249562eba29899,magnet:?xt=urn:btih:3c88f31d82729dbf83a702bd536a376b23db5ec6&dn=Silicon%20Valley%20%282014%29%20Season%201-6%20S01-S06%20%281080p%20Mixed%20x265%20HEVC%2010bit%20EAC3%205.1%20Silence%29&tr=udp%3A%2F%2Ftracker2.dler.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fwww.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fpow7.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.bitsearch.to%3A1337%2Fannounce,59.33GB,1080p-x265,2025-10-16,TV
The Big Bang Theory,2007,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%2Fid%2FOIP.8ez6TPwPpZEtd__pxuWkOQHaFj%3Fcb%3D12%26pid%3DApi&f=1&ipt=66f29924a98d0f1397fa4d419ce0064f929f5e411ff383641656367386514b39&ipo=images,magnet:?xt=urn:btih:5990e29607c45d2027fb614bc621218b1ae706c6&dn=The.Big.Bang.Theory.2007.COMPLETE.SERIES.720p.AMZN.WEBRip.x264-GalaxyTV%5BTGx%5D&tr=udp%3A%2F%2Ftracker2.dler.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fwww.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fpow7.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.bitsearch.to%3A1337%2Fannounce,41.12GB,720p-x264,2025-10-16,TV
Sex Education S01,2019,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fassets.gadgets360cdn.com%2Fpricee%2Fassets%2Fproduct%2F202205%2FSex-Education-Season-4-Poster_1651691067.jpg&f=1&nofb=1&ipt=09137afcfb491db1daa62bed2154d2d4fc4a84e0bc1b47af9d88a8b5d5070fa9,magnet:?xt=urn:btih:a42f13ff3abae7cc747cfd47aa48e102b911b604&dn=Sex.Education.S01.1080p.WEBRip.X264-EniaHD&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=http%3A%2F%2Fbt.eniaTV.com%2Fannounce.php%3Fuk%3DmBoOI2NeSA&tr=udp%3A%2F%2Fp4p.arenabg.com%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=http%3A%2F%2Fbt02.nnm-club.cc%3A2710%2F1dpDH5fFA0%2Fannounce&tr=udp%3A%2F%2Fopentor.net%3A6969&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce,30.79GB,1080p-x264,2025-10-16,TV
Mad Men,2007,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgaeMXQwZW3UbDFCmKpzFzEq4gykUq9xzO21gOcWtIROuc2dNnJw1ldyCFVlD-z_3MHKPhmcB6y07901itIX8HSvoeQ2SV-l0llHYBbFYP6cmfilV_DVV1geQrRmYOE2FW-SeWtC3RD02Y/s1600/mad+men+season+3+poster+amc+premiere.jpg,magnet:?xt=urn:btih:c6a6b6f23f201e90f5d788a738d4f7967cc93108&dn=Mad.Men.S01-S07.COMPLETE.1080p.BluRay.x265-PGW&tr=udp%3A%2F%2Ftracker.breizh.pm%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.moeking.me%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fwww.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.bitsearch.to%3A1337%2Fannounce,27.2GB,1080p-x265,2025-10-16,TV
2 Broke Girls,2011,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fimages4.alphacoders.com%2F675%2F675569.jpg&f=1&nofb=1&ipt=eaeec1845a42856ab8696dffcbb4e8ab4dc112a8c68a49f2bacfab34e59121bf,magnet:?xt=urn:btih:c6a6b6f23f201e90f5d788a738d4f7967cc93108&dn=Mad.Men.S01-S07.COMPLETE.1080p.BluRay.x265-PGW&tr=udp%3A%2F%2Ftracker.breizh.pm%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.moeking.me%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fwww.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.bitsearch.to%3A1337%2Fannounce,23.14GB,720p-x264,2025-10-16,TV
Rush Rally 3,2022,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%2Fid%2FOIP.iLS9LzmZvUp-G21hube4EAHaLH%3Fcb%3D12%26pid%3DApi&f=1&ipt=6b2764541dfd45a8531fb10b7e2ee9b58de932b9d35f1247b71c2ac473e98e08&ipo=images,magnet:?xt=urn:btih:abd6242f4c87855b22d743b704623a8e357c7a60&dn=Rush.Rally.3.rar&tr=udp%3A%2F%2Fopentor.org%3A2710%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.moeking.me%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.theoks.net%3A6969%2Fannounce&tr=udp%3A%2F%2Fretracker.lanta-net.ru%3A2710%2Fannounce&tr=udp%3A%2F%2Fmovies.zsw.ca%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fcoppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.zer0day.to%3A1337%2Fannounce,130.1MB,Nah,2025-10-16,Games
AutoCAD 2026.1 for Windows,2025,https://registrotic.catic.unam.mx/storage/tienda/software/ico-autocad.png,magnet:?xt=urn:btih:ae7296e7a7b07cc94db163da11f55aa5e64fb995&dn=AutoCAD.2026&tr=http%3A%2F%2Fuztracker.net%2Fbt%2Fannounce.php%3Fuk%3DdAQCiK8Euf4qtV3GvOYI&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A1337%2Fannounce&tr=udp%3A%2F%2F%5B2001%3A67c%3A28f8%3A92%3A%3A1111%3A1%5D%3A2710%2Fannounce&tr=udp%3A%2F%2Fipv6.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Ftracker.tiny-vps.com%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.dler.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fzephir.monocul.us%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2F46.148.18.250%3A2710%2Fannounce&tr=udp%3A%2F%2Fopentor.org%3A2710%2Fannounce,3.75GB,Nah,2025-08-16,Software
AutoCAD 2026 for Mac,2025,https://registrotic.catic.unam.mx/storage/tienda/software/ico-autocad.png,magnet:?xt=urn:btih:c50caf38b9172abc58c2653ce17e01390859cbf5&dn=Autodesk%20AutoCAD%202026%20for%20Mac%20Cracked%20-%20%5BCZsofts%5D&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fp4p.arenabg.com%3A1337%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.tiny-vps.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=http%3A%2F%2Ftracker1.itzmx.com%3A8080%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce,2.58GB,Nah,2025-04-04,Software
Photoshop 2025 27.0 for Windows,2025,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpixelrocket.com.br%2Fwp-content%2Fuploads%2F2025%2F03%2FPHOTOSHOP-2025.png&f=1&nofb=1&ipt=e31dae1509bc877ac53154c108f64df082cb2db63cace4b0aa340a1b8f055503,magnet:?xt=urn:btih:1627a859a0e3d68f36a386ca13dbdbec72896df4&dn=Photoshop.2026&tr=http%3A%2F%2Fuztracker.net%2Fbt%2Fannounce.php%3Fuk%3Dusz1ZD9MS0GZ3e3G0xeu&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A1337%2Fannounce&tr=udp%3A%2F%2F%5B2001%3A67c%3A28f8%3A92%3A%3A1111%3A1%5D%3A2710%2Fannounce&tr=udp%3A%2F%2Fipv6.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Ftracker.tiny-vps.com%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.dler.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fzephir.monocul.us%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2F46.148.18.250%3A2710%2Fannounce&tr=udp%3A%2F%2Fopentor.org%3A2710%2Fannounce,5.86GB,Nah,2025-11-22,Software
